,speaker,segment,repetition,frame,coord,point,pixel,mm
3401,1,pal,1,1,x,1,182,48.15356
3402,1,pal,1,1,x,2,184,48.68272
3403,1,pal,1,1,x,3,187,49.47646
3404,1,pal,1,1,x,4,189,50.00562
3405,1,pal,1,1,x,5,191,50.53478
3406,1,pal,1,1,x,6,194,51.32852
3407,1,pal,1,1,x,7,197,52.12226
3408,1,pal,1,1,x,8,200,52.916
3409,1,pal,1,1,x,9,203,53.70974
3410,1,pal,1,1,x,10,206,54.50348
3411,1,pal,1,1,x,11,209,55.29722
3412,1,pal,1,1,x,12,212,56.09096
3413,1,pal,1,1,x,13,216,57.14928
3414,1,pal,1,1,x,14,219,57.94302
3415,1,pal,1,1,x,15,223,59.00134
3416,1,pal,1,1,x,16,226,59.79508
3417,1,pal,1,1,x,17,230,60.8534
3418,1,pal,1,1,x,18,234,61.91172
3419,1,pal,1,1,x,19,237,62.70546
3420,1,pal,1,1,x,20,241,63.76378
3421,1,pal,1,1,x,21,245,64.8221
3422,1,pal,1,1,x,22,249,65.88042
3423,1,pal,1,1,x,23,253,66.93874
3424,1,pal,1,1,x,24,256,67.73248
3425,1,pal,1,1,x,25,260,68.7908
3426,1,pal,1,1,x,26,264,69.84912
3427,1,pal,1,1,x,27,268,70.90744
3428,1,pal,1,1,x,28,271,71.70118
3429,1,pal,1,1,x,29,275,72.7595
3430,1,pal,1,1,x,30,279,73.81782
3431,1,pal,1,1,x,31,283,74.87614
3432,1,pal,1,1,x,32,287,75.93446
3433,1,pal,1,1,x,33,290,76.7282
3434,1,pal,1,1,x,34,294,77.78652
3435,1,pal,1,1,x,35,298,78.84484
3436,1,pal,1,1,x,36,301,79.63858
3437,1,pal,1,1,x,37,305,80.6969
3438,1,pal,1,1,x,38,309,81.75522
3439,1,pal,1,1,x,39,313,82.81354
3440,1,pal,1,1,x,40,316,83.60728
3441,1,pal,1,1,x,41,320,84.6656
3442,1,pal,1,1,x,42,324,85.72392
3443,1,pal,1,1,x,43,328,86.78224
3444,1,pal,1,1,x,44,331,87.57598
3445,1,pal,1,1,x,45,335,88.6343
3446,1,pal,1,1,x,46,339,89.69262
3447,1,pal,1,1,x,47,342,90.48636
3448,1,pal,1,1,x,48,346,91.54468
3449,1,pal,1,1,x,49,349,92.33842
3450,1,pal,1,1,x,50,353,93.39674
3451,1,pal,1,1,x,51,356,94.19048
3452,1,pal,1,1,x,52,360,95.2488
3453,1,pal,1,1,x,53,364,96.30712
3454,1,pal,1,1,x,54,367,97.10086
3455,1,pal,1,1,x,55,371,98.15918
3456,1,pal,1,1,x,56,375,99.2175
3457,1,pal,1,1,x,57,378,100.01124
3458,1,pal,1,1,x,58,382,101.06956
3459,1,pal,1,1,x,59,385,101.8633
3460,1,pal,1,1,x,60,389,102.92162
3461,1,pal,1,1,x,61,392,103.71536
3462,1,pal,1,1,x,62,396,104.77368
3463,1,pal,1,1,x,63,399,105.56742
3464,1,pal,1,1,x,64,403,106.62574
3465,1,pal,1,1,x,65,406,107.41948
