"X","speaker","segment","repetition","frame","VO","PV","MC","FV","KC"
3401,1,"pal",1,1,NA,NA,NA,NA,NA
16799,1,"s",1,1,NA,NA,NA,NA,NA
16999,1,"s",1,2,NA,NA,NA,NA,NA
17199,1,"s",1,3,NA,NA,NA,NA,NA
17399,1,"s",1,4,"VO",NA,NA,NA,NA
17599,1,"s",1,5,NA,NA,NA,NA,NA
17799,1,"s",1,6,NA,NA,NA,NA,NA
17999,1,"s",1,7,"","PV",NA,NA,NA
18199,1,"s",1,8,NA,NA,NA,NA,NA
18399,1,"s",1,9,NA,NA,NA,NA,NA
18599,1,"s",1,10,"","","MC",NA,NA
18799,1,"s",1,11,NA,NA,NA,NA,NA
18999,1,"s",1,12,"","","","FV",NA
19199,1,"s",1,13,NA,NA,NA,NA,NA
19399,1,"s",1,14,NA,NA,NA,NA,NA
19599,1,"s",1,15,NA,NA,NA,NA,NA
19799,1,"s",1,16,"","","","","KC"
19999,1,"s",1,17,NA,NA,NA,NA,NA
20199,1,"s",1,18,NA,NA,NA,NA,NA
20399,1,"s",2,1,NA,NA,NA,NA,NA
20599,1,"s",2,2,NA,NA,NA,NA,NA
20799,1,"s",2,3,"VO",NA,NA,NA,NA
20999,1,"s",2,4,NA,NA,NA,NA,NA
21199,1,"s",2,5,"","PV",NA,NA,NA
21399,1,"s",2,6,NA,NA,NA,NA,NA
21599,1,"s",2,7,NA,NA,NA,NA,NA
21799,1,"s",2,8,NA,NA,NA,NA,NA
21999,1,"s",2,9,"","","MC",NA,NA
22199,1,"s",2,10,NA,NA,NA,NA,NA
22399,1,"s",2,11,NA,NA,NA,NA,NA
22599,1,"s",2,12,"","","","FV",NA
22799,1,"s",2,13,NA,NA,NA,NA,NA
22999,1,"s",2,14,NA,NA,NA,NA,NA
23199,1,"s",2,15,NA,NA,NA,NA,NA
23399,1,"s",2,16,NA,NA,NA,NA,NA
23599,1,"s",2,17,"","","","","KC"
23799,1,"s",2,18,NA,NA,NA,NA,NA
23999,1,"s",3,1,NA,NA,NA,NA,NA
24199,1,"s",3,2,NA,NA,NA,NA,NA
24399,1,"s",3,3,"VO",NA,NA,NA,NA
24599,1,"s",3,4,NA,NA,NA,NA,NA
24799,1,"s",3,5,"","PV",NA,NA,NA
24999,1,"s",3,6,NA,NA,NA,NA,NA
25199,1,"s",3,7,NA,NA,NA,NA,NA
25399,1,"s",3,8,"","","MC",NA,NA
25599,1,"s",3,9,NA,NA,NA,NA,NA
25799,1,"s",3,10,NA,NA,NA,NA,NA
25999,1,"s",3,11,"","","","FV",NA
26199,1,"s",3,12,NA,NA,NA,NA,NA
26399,1,"s",3,13,NA,NA,NA,NA,NA
26599,1,"s",3,14,NA,NA,NA,NA,NA
26799,1,"s",3,15,"","","","","KC"
26999,1,"s",4,1,NA,NA,NA,NA,NA
27199,1,"s",4,2,NA,NA,NA,NA,NA
27399,1,"s",4,3,"VO",NA,NA,NA,NA
27599,1,"s",4,4,NA,NA,NA,NA,NA
27799,1,"s",4,5,"","PV",NA,NA,NA
