"","segment","repetition","frame","point","x","y"
"199","s",1,1,1,115.36674512,65.47668149
"1991","s",1,1,2,112.62113586,64.07892282
"1992","s",1,1,3,109.87130756,62.69527941
"1993","s",1,1,4,107.06134345,61.45792582
"1994","s",1,1,5,104.24432683,60.15645068
"1995","s",1,1,6,101.42789977,58.73859205
"1996","s",1,1,7,98.49446729,57.49103158
"1997","s",1,1,8,95.49735639,56.19570526
"1998","s",1,1,9,92.42318395,54.75213813
"1999","s",1,1,10,89.2193018,53.3713725
"19910","s",1,1,11,85.88044243,52.38285153
"19911","s",1,1,12,82.45735589,51.89291845
"19912","s",1,1,13,79.03386842,52.02829059
"19913","s",1,1,14,75.70200173,52.83844322
"19914","s",1,1,15,72.46772048,53.93879804
"19915","s",1,1,16,69.33797251,55.28646392
"19916","s",1,1,17,66.33867117,56.87013256
"19917","s",1,1,18,63.52519249,58.7411611
"19918","s",1,1,19,60.9297305,60.89998705
"19919","s",1,1,20,58.65662321,63.46207169
"399","s",1,2,1,115.63994107,65.02201708
"3991","s",1,2,2,112.8504462,63.64380758
"3992","s",1,2,3,110.06058723,62.28139664
"3993","s",1,2,4,107.24901945,60.97835918
"3994","s",1,2,5,104.35921952,59.80610768
"3995","s",1,2,6,101.47894877,58.54742896
"3996","s",1,2,7,98.5460508,57.24278552
"3997","s",1,2,8,95.525969,56.0048341
"3998","s",1,2,9,92.42975078,54.6815596
"3999","s",1,2,10,89.21545875,53.47580184
"39910","s",1,2,11,85.88330387,52.53164487
"39911","s",1,2,12,82.47643188,52.14577091
"39912","s",1,2,13,79.07746927,52.35832109
"39913","s",1,2,14,75.75289104,53.10679741
"39914","s",1,2,15,72.49139528,54.03414334
"39915","s",1,2,16,69.34605717,55.31265077
"39916","s",1,2,17,66.31891815,56.81693262
"39917","s",1,2,18,63.42946051,58.52179803
"39918","s",1,2,19,60.78403649,60.61137331
"39919","s",1,2,20,58.37099618,62.96735584
"599","s",1,3,1,118.0771614,60.96589069
"5991","s",1,3,2,114.83196399,59.8838873
"5992","s",1,3,3,111.64242921,58.82250891
"5993","s",1,3,4,108.5025976,57.77510327
"5994","s",1,3,5,105.33489032,56.8309884
"5995","s",1,3,6,102.16710777,55.97048099
"5996","s",1,3,7,98.97368117,55.18481101
"5997","s",1,3,8,95.75463919,54.47940394
"5998","s",1,3,9,92.51100757,53.80823411
"5999","s",1,3,10,89.22353407,53.25636678
"59910","s",1,3,11,85.89322398,53.04748546
"59911","s",1,3,12,82.55711192,53.21518607
"59912","s",1,3,13,79.28343311,53.91733554
"59913","s",1,3,14,76.09463667,54.90892182
"59914","s",1,3,15,72.98307364,56.0142757
"59915","s",1,3,16,69.97986645,57.36560956
"59916","s",1,3,17,67.04433778,58.77067413
"59917","s",1,3,18,64.28415057,60.48025998
"59918","s",1,3,19,61.68226416,62.39072468
"59919","s",1,3,20,59.15306668,64.32192889
"799","s",1,4,1,117.83157764,61.37460171
"7991","s",1,4,2,114.38506848,60.73186934
"7992","s",1,4,3,111.12168366,59.96118169
"7993","s",1,4,4,108.03402356,58.9724459
"7994","s",1,4,5,105.01627022,57.80255872
"7995","s",1,4,6,102.01862049,56.52652107
"7996","s",1,4,7,98.92660639,55.41135879
"7997","s",1,4,8,95.72982722,54.64492148
"7998","s",1,4,9,92.4717946,54.22968424
"7999","s",1,4,10,89.199538,53.9084254
"79910","s",1,4,11,85.90859425,53.84673125
"79911","s",1,4,12,82.62018032,54.05115861
"79912","s",1,4,13,79.36026903,54.49893422
"79913","s",1,4,14,76.18230751,55.37123573
"79914","s",1,4,15,73.0766036,56.39094813
"79915","s",1,4,16,70.01592828,57.48241673
"79916","s",1,4,17,67.0585256,58.80888559
"79917","s",1,4,18,64.28604285,60.48459601
"79918","s",1,4,19,61.68048053,62.38719138
"79919","s",1,4,20,59.38220274,64.71880044
"999","s",1,5,1,118.04006265,61.02763202
"9991","s",1,5,2,114.85684453,59.83667659
"9992","s",1,5,3,111.63789873,58.83241534
"9993","s",1,5,4,108.44848634,57.91337326
"9994","s",1,5,5,105.30594591,56.91924877
"9995","s",1,5,6,102.17073124,55.95691217
"9996","s",1,5,7,98.96770871,55.21355353
"9997","s",1,5,8,95.73753445,54.5935075
"9998","s",1,5,9,92.47189574,54.22859723
"9999","s",1,5,10,89.20632028,53.72412652
"99910","s",1,5,11,85.89851309,53.32251599
"99911","s",1,5,12,82.56849241,53.36603465
"99912","s",1,5,13,79.3039351,54.07252246
"99913","s",1,5,14,76.15261104,55.21463758
"99914","s",1,5,15,73.14273447,56.65727648
"99915","s",1,5,16,70.17527652,57.99855835
"99916","s",1,5,17,67.26832998,59.37394271
"99917","s",1,5,18,64.53056584,61.0449032
"99918","s",1,5,19,62.00453289,63.02912553
"99919","s",1,5,20,59.76810274,65.38719253
"1199","s",1,6,1,117.75004641,61.51028947
"11991","s",1,6,2,114.60282248,60.3186822
"11992","s",1,6,3,111.41746062,59.3144298
"11993","s",1,6,4,108.25691034,58.40290551
"11994","s",1,6,5,105.14117951,57.42167202
"11995","s",1,6,6,102.07719613,56.30717298
"11996","s",1,6,7,98.96540828,55.22462436
"11997","s",1,6,8,95.74006245,54.57664353
"11998","s",1,6,9,92.47359403,54.21034449
"11999","s",1,6,10,89.19997881,53.89644698
"119910","s",1,6,11,85.90328162,53.57047734
"119911","s",1,6,12,82.58855302,53.63193839
"119912","s",1,6,13,79.34130799,54.35541134
"119913","s",1,6,14,76.21097001,55.52238144
"119914","s",1,6,15,73.2175565,56.95860663
"119915","s",1,6,16,70.30682159,58.42464334
"119916","s",1,6,17,67.48370918,59.95401425
"119917","s",1,6,18,64.80666587,61.67756692
"119918","s",1,6,19,62.34241182,63.69844951
"119919","s",1,6,20,60.14157515,66.03405962
"1399","s",1,7,1,117.60197125,61.75672248
"13991","s",1,7,2,114.47226593,60.5664126
"13992","s",1,7,3,111.30197887,59.56694452
"13993","s",1,7,4,108.15566324,58.66162123
"13994","s",1,7,5,105.05635565,57.68032598
"13995","s",1,7,6,101.959844,56.74662132
"13996","s",1,7,7,98.8019858,56.01109633
"13997","s",1,7,8,95.6268039,55.33217714
"13998","s",1,7,9,92.42294525,54.7547036
"13999","s",1,7,10,89.17986361,54.4430486
"139910","s",1,7,11,85.91387002,54.12106829
"139911","s",1,7,12,82.63034898,54.18594435
"139912","s",1,7,13,79.41673047,54.92631124
"139913","s",1,7,14,76.27151457,55.84165054
"139914","s",1,7,15,73.21779589,56.95957072
"139915","s",1,7,16,70.30541356,58.4200826
"139916","s",1,7,17,67.56094842,60.16203938
"139917","s",1,7,18,64.93728974,61.97688231
"139918","s",1,7,19,62.50336177,64.01728462
"139919","s",1,7,20,60.31836854,66.34027186
"1599","s",1,8,1,117.72463391,61.55258204
"15991","s",1,8,2,114.40183091,60.70006272
"15992","s",1,8,3,111.0882766,60.03423025
"15993","s",1,8,4,107.85877397,59.42025946
"15994","s",1,8,5,104.80336249,58.45177963
"15995","s",1,8,6,101.75011754,57.53198368
"15996","s",1,8,7,98.63648419,56.80757411
"15997","s",1,8,8,95.5063196,56.1359128
"15998","s",1,8,9,92.35945526,55.4370765
"15999","s",1,8,10,89.15967225,54.99171953
"159910","s",1,8,11,85.92468472,54.68342718
"159911","s",1,8,12,82.67321929,54.75419103
"159912","s",1,8,13,79.49245662,55.49950971
"159913","s",1,8,14,76.38024417,56.41501345
"159914","s",1,8,15,73.36210553,57.54074779
"159915","s",1,8,16,70.4477131,58.88100217
"159916","s",1,8,17,67.591788,60.2450983
"159917","s",1,8,18,64.92584679,61.9506616
"159918","s",1,8,19,62.48524204,63.9813902
"159919","s",1,8,20,60.29766856,66.30441878
"1799","s",1,9,1,117.39071271,62.10830799
"17991","s",1,9,2,113.93413653,61.58751049
"17992","s",1,9,3,110.61039932,61.07916639
"17993","s",1,9,4,107.48131916,60.38476603
"17994","s",1,9,5,104.46251851,59.49111739
"17995","s",1,9,6,101.46879517,58.58545113
"17996","s",1,9,7,98.458472,57.66425919
"17997","s",1,9,8,95.40758884,56.79453329
"17998","s",1,9,9,92.29174099,56.16485073
"17999","s",1,9,10,89.13921487,55.54761958
"179910","s",1,9,11,85.93517806,55.22907501
"179911","s",1,9,12,82.71766639,55.34333798
"179912","s",1,9,13,79.54945441,55.93094645
"179913","s",1,9,14,76.43313098,56.69390102
"179914","s",1,9,15,73.46085179,57.93842782
"179915","s",1,9,16,70.61652226,59.42778849
"179916","s",1,9,17,67.89139002,61.05200354
"179917","s",1,9,18,65.21578724,62.61503968
"179918","s",1,9,19,62.67439238,64.35608909
"179919","s",1,9,20,60.46130246,66.58783832
"19991","s",1,10,1,117.33081053,62.20799975
"19992","s",1,10,2,113.67423531,62.08067178
"19993","s",1,10,3,110.31934633,61.71558875
"19994","s",1,10,4,107.28851944,60.87742524
"19995","s",1,10,5,104.32311783,59.91619279
"19996","s",1,10,6,101.34815823,59.03720008
"19997","s",1,10,7,98.31602921,58.34976625
"19998","s",1,10,8,95.27337161,57.6898796
"19999","s",1,10,9,92.21345333,57.00626494
"199910","s",1,10,10,89.10941056,56.3575087
"199911","s",1,10,11,85.95037968,56.01955101
"199912","s",1,10,12,82.76955815,56.03116399
"199913","s",1,10,13,79.61839799,56.45280521
"199914","s",1,10,14,76.54228165,57.26948433
"199915","s",1,10,15,73.57911619,58.4147131
"199916","s",1,10,16,70.7156396,59.74883744
"199917","s",1,10,17,67.9113402,61.10573452
"199918","s",1,10,18,65.18785921,62.55104458
"199919","s",1,10,19,62.59456114,64.19794675
"199920","s",1,10,20,60.23508303,66.19601848
"2199","s",1,11,1,115.70932766,64.90654096
"21991","s",1,11,2,112.83915765,63.66522756
"21992","s",1,11,3,110.08352462,62.2312413
"21993","s",1,11,4,107.16811869,61.18508409
"21994","s",1,11,5,104.22058686,60.22884115
"21995","s",1,11,6,101.26246219,59.3581059
"21996","s",1,11,7,98.2510234,58.66260722
"21997","s",1,11,8,95.22550674,58.00918015
"21998","s",1,11,9,92.19882289,57.16350889
"21999","s",1,11,10,89.1076207,56.40614544
"219910","s",1,11,11,85.9511336,56.05875477
"219911","s",1,11,12,82.77105856,56.05105192
"219912","s",1,11,13,79.6193726,56.46018239
"219913","s",1,11,14,76.54063805,57.26081715
"219914","s",1,11,15,73.49498152,58.0758782
"219915","s",1,11,16,70.53448953,59.16207794
"219916","s",1,11,17,67.69269235,60.51685965
"219917","s",1,11,18,64.93004704,61.96028618
"219918","s",1,11,19,62.2997874,63.61401232
"219919","s",1,11,20,60.02511174,65.83234098
"2399","s",1,12,1,115.07256161,65.96627427
"23991","s",1,12,2,112.4152171,64.46965267
"23992","s",1,12,3,109.67872717,63.11637961
"23993","s",1,12,4,107.01364285,61.57981468
"23994","s",1,12,5,104.12819252,60.51057979
"23995","s",1,12,6,101.25505022,59.38586149
"23996","s",1,12,7,98.31055072,58.37613152
"23997","s",1,12,8,95.31958244,57.38161293
"23998","s",1,12,9,92.27530102,56.34154303
"23999","s",1,12,10,89.13704102,55.60669079
"239910","s",1,12,11,85.93580503,55.26167697
"239911","s",1,12,12,82.71965505,55.3696977
"239912","s",1,12,13,79.57338267,56.11206805
"239913","s",1,12,14,76.49640047,57.02753953
"239914","s",1,12,15,73.50354501,58.11036586
"239915","s",1,12,16,70.54671529,59.20167816
"239916","s",1,12,17,67.7078179,60.55759664
"239917","s",1,12,18,64.94765676,62.0006376
"239918","s",1,12,19,62.29737813,63.60923967
"239919","s",1,12,20,59.81415026,65.46694842
"2599","s",1,13,1,114.73624756,66.52598252
"25991","s",1,13,2,112.24424319,64.79407481
"25992","s",1,13,3,109.66464252,63.14717738
"25993","s",1,13,4,106.97377016,61.68170098
"25994","s",1,13,5,104.15810748,60.41935991
"25995","s",1,13,6,101.29860988,59.22274372
